category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
4,192,280,31,4.1,63,0
2,260,42,76,4.0,5072,1
4,187,234,20,4.0,5206,1
4,110,122,30,4.1,322,1
1,514,316,81,4.0,20457,1
1,152,349,67,4.0,9378,1
4,439,12,31,4.5,3192,1
1,273,407,59,4.4,28791,1
1,344,445,57,4.3,838,1
1,116,168,42,4.0,9378,1
1,273,63,78,4.2,903,1
2,161,313,57,3.8,136,1
2,143,445,81,4.3,1237,1
1,350,11,60,4.1,2685,1
1,350,11,60,4.1,2685,1
2,128,134,18,4.3,16299,1
2,509,112,48,4.0,6347,1
2,157,145,5,4.4,2866,1
4,441,27,37,3.9,144,1
1,141,201,37,4.4,5176,1
1,344,11,61,4.3,974,1
1,344,11,61,4.3,974,1
1,321,11,65,4.3,974,1
4,42,204,47,4.5,19,0
2,473,115,58,3.4,902,1
1,105,313,74,4.0,7732,1
1,105,313,74,4.0,7732,1
1,105,313,74,4.0,7732,1
1,127,313,67,4.0,7732,1
4,417,445,39,4.0,1313,1
2,233,349,57,3.5,197,1
1,325,445,61,3.5,1121,1
2,350,427,51,3.9,254,1
2,457,11,34,3.2,285,1
2,222,313,52,3.5,121,1
2,549,127,45,4.3,1777,1
4,194,281,32,4.4,2116,1
2,500,127,56,3.7,418,1
4,19,244,62,4.3,1802,1
1,455,44,45,4.1,5195,1
1,538,131,48,3.9,14969,1
4,342,257,22,4.2,3739,1
4,386,445,47,4.1,1021,1
2,19,266,67,4.2,2908,1
4,43,316,68,3.6,63,0
1,345,262,0,3.8,3344,1
1,427,345,0,3.8,5958,1
2,549,161,53,4.6,3664,1
4,277,277,16,4.0,1282,1
1,273,63,78,4.2,2868,1
4,393,142,74,3.1,3527,1
4,9,110,36,4.3,1811,1
2,36,266,61,4.1,141841,1
2,273,349,45,3.7,708,1
1,327,445,61,4.3,838,1
2,128,137,18,4.2,32916,1
2,128,137,18,4.2,32916,1
2,338,392,43,4.2,27790,1
2,6,90,30,4.4,7462,1
2,20,90,20,4.4,8891,1
4,347,313,13,4.0,330,1
4,146,124,2,4.1,3688,1
4,163,313,56,4.1,1996,1
4,537,80,35,4.1,4370,1
2,350,375,37,3.4,3454,1
2,412,63,61,4.1,8599,1
1,546,445,89,4.1,8751,1
4,330,427,57,3.9,296,1
1,243,354,54,4.0,1208,1
1,273,443,67,4.5,2453,1
1,523,127,50,4.4,1667,1
1,342,11,62,4.3,2806,1
1,342,11,62,4.3,2806,1
1,368,427,48,4.5,4219,1
1,163,313,56,4.1,13045,1
